"runoff","rain","snow","etact"
0,0,114492881.25,110367165.625
0,0,0,2373271.875
0,0,2210620406.25,437554530.6875
28.1177432484102,16455624287.9375,14607945930.8125,551774272.129437
28.1177432484102,4726791496.33332,1825348453.66667,595004251.512888
2002.24177071327,0,0,828534352.420176
2265.57936413338,1922759.84375,136152196.40625,644074380.106184
4617.71863314806,3155707878.33333,20036003502.9167,751051061.186165
190233.015290939,35877460090,3406214741.25,587592586.327514
546586.157174541,28008861050.1458,3109189024.85417,715306003.241854
8626425.46780014,46347847591.6979,9670419670.80207,833110677
29327261.760022,76739513.3854167,63216292.8645833,665700113.017042
67516585.9193015,2591894.94791667,1280980.05208333,716200847.392303
163731693.724055,16130304009.1354,1823435090.86458,1100113503.67358
396896049.731103,10604902574.5938,4347451450.40625,523507367.25
778025929.470844,18379122.1041667,80966821.6458333,919544257.24712
1197189776.20943,0,0,1399903616.80842
1530539593.29487,0,0,835094546.651972
1723093107.8296,0,0,1389278969.21839
1783959689.29773,0,0,789057559.28245
1749800788.27126,78132.8125,264054.6875,1351670172.82284
1658114524.97747,682191.5,2305508.5,971686364.662381
1538639414.6321,195164286.958334,1717221744.29167,554165912.591529
1410459732.57884,101800.78125,479917.96875,402956937.053782
1285257276.68769,18844062.03125,42356600.46875,578530826.244274
1168923636.87189,2379541207.20833,185994142.791667,998545542.275375
1064017442.89459,225673330.71875,49920800.53125,598161131.326161
970595300.397032,137673.4375,444045.3125,891503429.044932
890594895.133061,3192836220.04167,5493594811.20834,998379078.5
823519099.908574,2212838821.4375,7451489291.06249,402955786
766399387.957154,10183.5937499996,183713360.15625,1101402604.59916
717497328.454313,1698977.875,22429653.375,660354189.369783
677811374.624338,3546141372.98958,15172464383.2604,424830977.625
646888910.926551,4224011141.41667,1084709196.08333,921426041.625
622070501.30397,216828981.104167,1168106.39583333,1161618038.78912
604069909.22713,1542806451.58333,7774588879.66667,328681453.5
590371191.367907,0,0,881291765.75
580742347.854653,13849824.3854167,204932038.114583,1029324429.954
574727105.368206,81249055.4270833,356378125.822917,837325691.26799
571537962.384944,1769634303.90625,1361523714.84375,1266299345.4467
576025535.125197,4965949956.875,9494382818.12499,1094733641.0625
586961704.276449,827992992.15625,5671784676.59376,992656130.625
601724839.506996,297556338.625,10588958317.625,420556654.9375
631264504.71653,4009401806.28125,16705008643.7188,1100452140.75
662145876.254909,85825487.34375,18843036675.1563,443788369.8125
692095870.723509,0,252990706.25,937539693.5625
718237192.380195,0,3397429256.25,1345785325.70072
738577163.391057,0,17572721825,485565737.5
754587340.040048,9284920,1309570161.25,1100075007.6875
764954187.466061,128852392.03125,3104382676.71875,1051567667.95828
779453424.139211,559073850.927083,785251405.322916,844747513.563141
799449761.682933,180596120.822917,336386072.927083,1390619617.99729
837305547.481953,351833134.989583,259628546.260417,1578067792.57371
921747198.564697,9347274755.09375,7065043294.90624,1623843633.07802
1036376755.79741,1462123778.86458,3562441383.63542,1145564023.05523
1154129848.9206,0,265417781.25,1465635603.55586
1255016357.46888,0,296465887.5,1347550708.9601
1328544143.62847,0,138549537.5,1596391501.70945
1371487054.74381,0,40335512.5,1475813469.60858
1386073706.29544,0,0,1581119724.12047
1378040784.61179,2005753.91666667,1974843746.08333,1396608884.85642
1353922628.03836,2164952,766107404.25,816118090.979328
1319596690.08582,40644871.625,8607623390.875,1456657359.19357
1279034668.9262,3131624.25,2210124769.5,895928504.006799
1235057357.1209,0,270477018.75,1243211865.82843
1189867198.67605,12522121.25,5538944947.5,1188231261.25
1145967513.84295,105397774.427083,5199559444.32292,595376395.75
1103905489.65699,0,0,1873391236.31647
1063873501.90539,12668900.8333333,15807063330.4167,441948699.375
1030060590.3528,2808152.8125,409952128.4375,903238694.875
999005648.476108,0,0,1569045501.90853
973797442.066335,3164216.35416667,791489383.645833,1143483323.87095
950912751.176002,200287971.666667,729398028.333333,706592026.393513
933180718.696822,95181963.7604166,468582729.989583,709674382.582887
919838856.798433,56343146.25,90169103.7500001,1951883770.35222
910058956.080655,0,814687.5,2115571433.49415
907387337.183067,4645749014.94791,5927619435.05208,1221201997.375
909649260.255841,627091154.260418,1930321726.98959,1610978722.20262
912648848.533291,0,0,3284852292.40964
914023378.683825,0,0,2503311371.60656
925584109.570432,16098287093.9583,2287654162.29167,543105344.5
948600798.568591,6398261095.92709,1191909710.32292,691279434.75
1021793007.65389,16917813235.1042,2952373458.64583,796498048.375
1104444694.4885,5397729447.46875,1298793308.78125,1026392758.25
1208899577.65661,4713647996.25,2339919741.25,1517421725.5
1334527880.93402,132929.84375,15563138.90625,1754318474.06881
1475466549.17119,0,0,2727745201.84329
1621020018.6254,0,0,2341846953.84733
1756881571.91918,536482331.802083,102469280.697917,2650960102.01783
1895351014.62247,12882329652.3437,5039837041.40625,729775273.375
2006913194.34047,276622274.979167,912926225.020833,2526818783.54139
2084764271.2574,22422814.3645833,1897155741.88542,1346524852.68544
2125875441.29056,0,602570456.25,2156273236.64986
2133683589.96854,17945560.625,1607276314.375,1471595515.28136
2114697479.17932,73931820.5,3215350798.25,1301038696.79457
2074973406.68043,109723199.541667,538768112.958333,1278487569.81467
2021082643.70939,2833309255.61458,2541073650.63542,851778980.375
1980621483.33111,6250075056.66667,9941831730.83334,762437477.875
1938774958.14408,704642432.937499,6230503317.0625,1408320425.5625
1899323833.48921,35158008.6458333,405702016.354166,1171785085.63531
1861637595.7162,0,1026562.5,2476829262.37125
1837397887.21052,11931849820.0313,5277522923.71876,2186529311.39681
1859465849.02415,18592606289.9792,4650596316.27083,1094767253.125
1899340394.30204,3916912.34375,7280962.65625,3251833752.06567
1947365547.3586,0,0,3922440926.84015
1998216765.07847,0,0,4021979811.87665
2050350854.72416,0,0,3366456911.375
2102798557.15921,1185848293.75,0,4021013168.39181
2163541837.98968,8047914531.25,0,1202087043.9375
2241938963.59203,114606412.135417,154525831.614583,2752382499.53254
2352644538.55844,0,0,4300243764.53258
2504749277.66578,0,0,3855710981.60094
